job_id,searched_role,company,job_title,skill
2458411575,Business Intelligence Developer,Symansys Technologies India Pvt Ltd,Business Intelligence Developer,SQL
2458411575,Business Intelligence Developer,Symansys Technologies India Pvt Ltd,Business Intelligence Developer,Tableau
2458411575,Business Intelligence Developer,Symansys Technologies India Pvt Ltd,Business Intelligence Developer,ETL
2458411575,Business Intelligence Developer,Symansys Technologies India Pvt Ltd,Business Intelligence Developer,MySQL
1171509178,Business Intelligence Developer,N H Enterprises,Power Business Intelligent Developer,SQL
1171509178,Business Intelligence Developer,N H Enterprises,Power Business Intelligent Developer,Power BI
5784727566,Business Intelligence Developer,Terralogic Software Solutions,Business Intelligence Developer (Power BI),Python
5784727566,Business Intelligence Developer,Terralogic Software Solutions,Business Intelligence Developer (Power BI),SQL
5784727566,Business Intelligence Developer,Terralogic Software Solutions,Business Intelligence Developer (Power BI),Tableau
5784727566,Business Intelligence Developer,Terralogic Software Solutions,Business Intelligence Developer (Power BI),Power BI
5784727566,Business Intelligence Developer,Terralogic Software Solutions,Business Intelligence Developer (Power BI),ETL
5719887961,Business Intelligence Developer,Tata Consultancy,Business Intelligence Developer - Bangalore - 10-12 yr,SQL
5719887961,Business Intelligence Developer,Tata Consultancy,Business Intelligence Developer - Bangalore - 10-12 yr,Spark
5719887961,Business Intelligence Developer,Tata Consultancy,Business Intelligence Developer - Bangalore - 10-12 yr,PostgreSQL
5719887961,Business Intelligence Developer,Tata Consultancy,Business Intelligence Developer - Bangalore - 10-12 yr,MySQL
4727380967,Business Intelligence Developer,Scremer,Solutions Developer (Business Intelligence),SQL
4727380967,Business Intelligence Developer,Scremer,Solutions Developer (Business Intelligence),Azure
4727380967,Business Intelligence Developer,Scremer,Solutions Developer (Business Intelligence),Power BI
4727380967,Business Intelligence Developer,Scremer,Solutions Developer (Business Intelligence),Machine Learning
5507908032,Business Intelligence Developer,EXL,Analyst-Application Development-Business Intelligence,Git
5529516680,Business Intelligence Developer,EXL,Account Manager-Application Development-Business Intelligence,Python
5529516680,Business Intelligence Developer,EXL,Account Manager-Application Development-Business Intelligence,AWS
5529516680,Business Intelligence Developer,EXL,Account Manager-Application Development-Business Intelligence,Azure
5529516680,Business Intelligence Developer,EXL,Account Manager-Application Development-Business Intelligence,Machine Learning
5465034728,Business Intelligence Developer,EXL,Application Engineer-Application Development-Business Intelligence,SQL
5465034728,Business Intelligence Developer,EXL,Application Engineer-Application Development-Business Intelligence,Tableau
5767846634,Cloud Engineer,Weekday AI,Cloud Engineer,Kubernetes
5767846634,Cloud Engineer,Weekday AI,Cloud Engineer,AWS
5796260139,Cloud Engineer,Rezo.ai,Cloud Engineer,Azure
5796260139,Cloud Engineer,Rezo.ai,Cloud Engineer,Scala
5657199618,Cloud Engineer,Thinqor,Cloud Engineer,Azure
5657199618,Cloud Engineer,Thinqor,Cloud Engineer,Databricks
5657199618,Cloud Engineer,Thinqor,Cloud Engineer,Git
5677345416,Cloud Engineer,Photon Group,Cloud Engineer,Docker
5677345416,Cloud Engineer,Photon Group,Cloud Engineer,Kubernetes
5677345416,Cloud Engineer,Photon Group,Cloud Engineer,AWS
5677345416,Cloud Engineer,Photon Group,Cloud Engineer,Azure
5677345416,Cloud Engineer,Photon Group,Cloud Engineer,GCP
5677345416,Cloud Engineer,Photon Group,Cloud Engineer,Git
4499249281,Cloud Engineer,Nyusoft Solutions,Cloud Engineer,Scala
5789810788,Cloud Engineer,Dayal Group,Cloud Engineer,Linux
5449953143,Cloud Engineer,TRU,Cloud Engineer,Git
5784390818,Cloud Engineer,Ascentt-India,Cloud Engineer,AWS
5784390818,Cloud Engineer,Ascentt-India,Cloud Engineer,Azure
5784390818,Cloud Engineer,Ascentt-India,Cloud Engineer,GCP
5784390818,Cloud Engineer,Ascentt-India,Cloud Engineer,Scala
5789591866,Cloud Engineer,"NTT America, Inc.",Cloud Engineer,AWS
2233316352,Cloud Engineer,AskSid,Cloud Engineer,Kubernetes
2233316352,Cloud Engineer,AskSid,Cloud Engineer,Azure
5653477208,Big Data Engineer,Müller`s Solutions,Big Data Engineer,Scala
5442082882,Big Data Engineer,Deqode,Big Data Engineer,Python
5442082882,Big Data Engineer,Deqode,Big Data Engineer,Spark
5442082882,Big Data Engineer,Deqode,Big Data Engineer,ETL
5442082882,Big Data Engineer,Deqode,Big Data Engineer,Scala
3675927995,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Python
3675927995,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Spark
3675927995,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,AWS
3675927995,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Snowflake
3675927995,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Scala
3812502540,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Python
3812502540,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Spark
3812502540,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Hadoop
3812502540,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,AWS
3812502540,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Snowflake
3812502540,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Scala
4344577823,Big Data Engineer,Jobdost,Big Data Engineer,Python
4344577823,Big Data Engineer,Jobdost,Big Data Engineer,Spark
4344577823,Big Data Engineer,Jobdost,Big Data Engineer,Hadoop
4344577823,Big Data Engineer,Jobdost,Big Data Engineer,Scala
4819767261,Big Data Engineer,Virtusa,Big Data Engineer,Python
4819767261,Big Data Engineer,Virtusa,Big Data Engineer,Spark
4819767261,Big Data Engineer,Virtusa,Big Data Engineer,Hadoop
